student_id,school,sex,age,address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,school_choice_reason,stdnt_major,guardian,travel_time,study_time,unique_quality,class_failures,school_support,family_support,extra_paid_classes,activities,nursery_school,higher_ed,internet_access,romantic_relationship,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,grade_1,grade_2,final_grade
11,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,Theatre Arts,mother,<15 min.,2 to 5 hours,Stop motion animator,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14
12,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,reputation,Biology,father,30 min. to 1 hour,5 to 10 hours,Biology explorer,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13
13,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,health,services,course,Biology,father,<15 min.,<2 hours,Sports enthusiast,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12
14,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,course,Nursing,mother,15 to 30 min.,2 to 5 hours,3D printing innovator,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13
15,GP,M,15,Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,home,Nursing,other,<15 min.,5 to 10 hours,Theatre and drama artist,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15
16,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,health,other,home,Nursing,mother,<15 min.,<2 hours,Urban sketching artist,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17
17,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,Pre-Nursing,mother,<15 min.,5 to 10 hours,Silversmith,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14
18,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,reputation,Pre-Nursing,mother,30 min. to 1 hour,2 to 5 hours,Community volunteer champion,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14
19,GP,M,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,course,Nursing,mother,<15 min.,<2 hours,Traditional folklore researcher,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
20,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,home,Chemistry,father,<15 min.,<2 hours,Fantasy fiction writer,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12
21,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,reputation,Pre-Engineering/RETP,mother,<15 min.,2 to 5 hours,Digital marketing specialist,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14
22,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,health,other,Early Childhood Education,father,<15 min.,<2 hours,Vintage clothing curator,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12
23,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,course,Biology,mother,<15 min.,2 to 5 hours,A natural leader,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14
24,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,reputation,Pre-Engineering/RETP,mother,15 to 30 min.,2 to 5 hours,Reliable mediator,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10
25,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,higher education,services,health,course,Biology,mother,<15 min.,5 to 10 hours,Exceptional strategist,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10
26,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,Pre-Engineering/RETP,mother,<15 min.,<2 hours,Expert in multitasking,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12
27,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,Biology,mother,<15 min.,<2 hours,DIY furniture maker,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12
28,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,other,Biology,mother,<15 min.,<2 hours,Underwater explorer,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11
29,GP,M,16,Urban,Less than or equal to 3,Apart,secondary education,higher education,services,other,home,Music Performance,mother,<15 min.,2 to 5 hours,Wine connoisseur,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13
30,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,home,Music Performance,mother,<15 min.,2 to 5 hours,Biology explorer,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
31,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,services,home,Music Performance,mother,<15 min.,2 to 5 hours,Jazz musician,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11
32,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,Art,mother,15 to 30 min.,2 to 5 hours,Quick-witted humorist,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15
33,GP,M,15,Rural,Greater than 3,Living together,higher education,secondary education,teacher,at_home,course,Music Performance,mother,<15 min.,2 to 5 hours,Robotics expert,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15
34,GP,M,15,Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,course,Early Childhood Education,mother,<15 min.,2 to 5 hours,Quilt maker,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12
35,GP,M,16,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,home,Chemistry,mother,<15 min.,<2 hours,Leather craftsperson,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12
36,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,other,Early Childhood Education,father,15 to 30 min.,<2 hours,Digital marketing specialist,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11
37,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,home,Psychology,mother,<15 min.,5 to 10 hours,History buff,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14
38,GP,M,16,Rural,Greater than 3,Apart,higher education,higher education,other,teacher,reputation,English Language/Literature,mother,15 to 30 min.,5 to 10 hours,Acclaimed blogger,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13
39,GP,F,15,Rural,Greater than 3,Living together,secondary education,higher education,services,health,course,Joint Enrollment - Accel,mother,<15 min.,5 to 10 hours,Musically talented,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12
40,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,reputation,Accounting,mother,<15 min.,<2 hours,Biology explorer,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12
41,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,Psychology,mother,15 to 30 min.,2 to 5 hours,Sustainability champion,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10
42,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,home,Accounting,other,<15 min.,<2 hours,Stand-up comedian,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11
43,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,course,Biology,father,<15 min.,2 to 5 hours,Global traveler,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15
44,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,Criminal Justice,father,<15 min.,<2 hours,Ethical hacker,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10
45,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,course,Theatre Arts,father,15 to 30 min.,2 to 5 hours,Home decor designer,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11
46,GP,F,15,Urban,Less than or equal to 3,Apart,higher education,secondary education,other,other,course,Psychology,mother,<15 min.,2 to 5 hours,Sustainability champion,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
47,GP,F,16,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,services,home,History and Secondary Ed,mother,<15 min.,2 to 5 hours,Indie game developer,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13
48,GP,M,16,Urban,Greater than 3,Living together,higher education,secondary education,health,services,reputation,Early Childhood Education,mother,<15 min.,>10 hours,Board game strategist,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17
49,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,home,Mathematics,mother,<15 min.,2 to 5 hours,Sports enthusiast,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13
50,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,other,History,father,<15 min.,2 to 5 hours,Yoga instructor,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
51,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,Pre-Nursing,mother,30 min. to 1 hour,2 to 5 hours,Macrame artist,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13
52,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,health,other,other,Engineering Studies,mother,<15 min.,2 to 5 hours,Mental health advocate,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16
53,GP,M,15,Urban,Less than or equal to 3,Apart,higher education,5th to 9th grade,health,health,other,Computer Science - Systems,father,15 to 30 min.,<2 hours,Ceramics artist,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9
54,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,course,Computer Science - Systems,mother,<15 min.,<2 hours,Mental health advocate,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12
55,GP,F,15,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,other,other,Chemistry,mother,<15 min.,<2 hours,Calligraphy artist,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13
56,GP,F,16,Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,other,Music Performance,mother,<15 min.,2 to 5 hours,Compassionate and caring,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
57,GP,F,15,Urban,Greater than 3,Apart,higher education,secondary education,services,services,reputation,Music Performance,mother,<15 min.,2 to 5 hours,Wood carving artist,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15
58,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,Pre-Business,mother,<15 min.,2 to 5 hours,Floral arrangement artist,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16
59,GP,M,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,at_home,home,Political Science,father,<15 min.,2 to 5 hours,Artistically gifted,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14
60,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,services,other,course,Management,mother,<15 min.,2 to 5 hours,Master of languages,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16
61,GP,F,16,Rural,Greater than 3,Living together,higher education,higher education,health,teacher,other,Pre-Engineering/RETP,mother,<15 min.,2 to 5 hours,Theatre and drama artist,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16
62,GP,F,16,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,services,course,Theatre Education,father,>1 hour,<2 hours,Kite flying enthusiast,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
63,GP,F,16,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,services,reputation,Music Performance,father,<15 min.,2 to 5 hours,DIY furniture maker,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10
64,GP,F,16,Urban,Greater than 3,Living together,higher education,secondary education,teacher,health,home,Marketing,mother,<15 min.,5 to 10 hours,Birdwatching expert,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13
65,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,services,services,reputation,Communication,father,<15 min.,2 to 5 hours,Public speaking pro,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12
66,GP,F,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,course,Communication,mother,30 min. to 1 hour,2 to 5 hours,Fitness role model,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16
67,GP,M,15,Urban,Greater than 3,Apart,higher education,higher education,other,services,reputation,Music Education,mother,<15 min.,>10 hours,Innovative and forward-thinking,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12
68,GP,F,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,other,course,Music Performance,mother,<15 min.,>10 hours,Aquarium enthusiast,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10
69,GP,F,15,Rural,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,health,services,reputation,French with Teacher Cert,mother,15 to 30 min.,2 to 5 hours,Quilt maker,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11
70,GP,F,15,Rural,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,reputation,English and Secondary Ed,father,15 to 30 min.,>10 hours,Digital marketing specialist,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15
71,GP,M,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,reputation,Early Childhood Education,father,15 to 30 min.,>10 hours,Origami expert,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11
72,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,course,Theatre Arts,mother,<15 min.,>10 hours,Comic book aficionado,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10
73,GP,F,15,Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,reputation,Music Performance,mother,<15 min.,2 to 5 hours,Linguistics scholar,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11
74,GP,M,16,Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,reputation,Exercise Science,mother,<15 min.,<2 hours,Adventure sports enthusiast,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14
75,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,services,home,History and Secondary Ed,mother,<15 min.,2 to 5 hours,Comic book aficionado,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11
76,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,home,Early Childhood Education,mother,<15 min.,2 to 5 hours,Wildlife conservationist,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11
77,GP,M,15,Urban,Greater than 3,Living together,higher education,none,teacher,other,course,English Language/Literature,mother,15 to 30 min.,>10 hours,Political analyst,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11
78,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,reputation,Psychology,mother,<15 min.,>10 hours,Gardening expert,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13
79,GP,M,17,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,home,Music Education,mother,15 to 30 min.,<2 hours,Crystal healing practitioner,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10
80,GP,F,16,Urban,Greater than 3,Living together,secondary education,higher education,at_home,other,course,Marketing,mother,<15 min.,2 to 5 hours,Experimental cook,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11
81,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,services,course,Music Performance,father,<15 min.,<2 hours,Echo sounder (acoustic location expert),0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12
82,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,home,Biology,mother,<15 min.,5 to 10 hours,Ice sculptor,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9
83,GP,F,15,Urban,Less than or equal to 3,Living together,secondary education,5th to 9th grade,services,other,reputation,General Business,mother,<15 min.,2 to 5 hours,Echo sounder (acoustic location expert),0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11
84,GP,M,15,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,English Language/Literature,mother,15 to 30 min.,2 to 5 hours,Birdwatching expert,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
85,GP,F,15,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,home,Theatre Arts,father,<15 min.,2 to 5 hours,Crystal healing practitioner,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12
86,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,Mathematics,father,15 to 30 min.,2 to 5 hours,Expert in multitasking,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12
87,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,course,Early Childhood Education,mother,<15 min.,2 to 5 hours,Home decor designer,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11
88,GP,F,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,reputation,Psychology,mother,<15 min.,5 to 10 hours,Linguistics scholar,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15
89,GP,M,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,other,reputation,Theatre Arts,father,15 to 30 min.,2 to 5 hours,Leather craftsperson,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11
90,GP,M,16,Urban,Less than or equal to 3,Apart,higher education,higher education,teacher,health,reputation,Music Education,mother,<15 min.,2 to 5 hours,Biology explorer,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10
91,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,home,Pre-Nursing,mother,<15 min.,5 to 10 hours,Herbalism and natural remedies advocate,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11
92,GP,F,15,Urban,Greater than 3,Living together,higher education,secondary education,services,other,reputation,Pre-Nursing,mother,<15 min.,<2 hours,Antique collector,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13
93,GP,F,16,Urban,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,home,Nursing,father,<15 min.,2 to 5 hours,Craft beer enthusiast,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12
94,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,services,home,Pre-Nursing,mother,15 to 30 min.,2 to 5 hours,Science enthusiast,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14
95,GP,M,15,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,health,reputation,Pre-Nursing,mother,<15 min.,>10 hours,Fitness role model,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12
96,GP,F,15,Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,home,Pre-Nursing,mother,15 to 30 min.,>10 hours,Astronomy aficionado,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
97,GP,M,16,Rural,Greater than 3,Living together,higher education,secondary education,services,other,reputation,Pre-Nursing,mother,15 to 30 min.,<2 hours,Scrap metal sculptor,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11
98,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,course,Biology,mother,<15 min.,2 to 5 hours,Archeology buff,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12
99,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,other,other,reputation,Engineering Studies,mother,<15 min.,<2 hours,Engineering innovator,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13
100,GP,F,16,Urban,Greater than 3,Living together,higher education,secondary education,other,at_home,course,Music Performance,mother,<15 min.,5 to 10 hours,Environmental advocate,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13
101,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,services,services,other,Computer Science - Systems,mother,<15 min.,<2 hours,Film and media critic,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8
102,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,other,Nursing,father,<15 min.,5 to 10 hours,Fitness role model,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16
103,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,other,course,Music Education,mother,<15 min.,<2 hours,3D printing innovator,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12
104,GP,F,15,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,other,home,Biology,mother,15 to 30 min.,2 to 5 hours,Dedicated researcher,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10
105,GP,M,15,Urban,Greater than 3,Apart,secondary education,higher education,services,other,course,History and Secondary Ed,mother,<15 min.,2 to 5 hours,Film and media critic,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16
106,GP,F,15,Urban,Greater than 3,Apart,secondary education,secondary education,other,health,reputation,Theatre Arts,father,<15 min.,>10 hours,Thrill-seeker,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10
107,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,course,Nursing,mother,<15 min.,>10 hours,An excellent team player,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10
108,GP,M,16,Urban,Greater than 3,Living together,secondary education,secondary education,services,other,home,Mathematics and Secondary Ed,father,<15 min.,5 to 10 hours,Architectural designer,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14
109,GP,M,15,Rural,Greater than 3,Living together,higher education,higher education,other,other,home,History and Secondary Ed,father,>1 hour,>10 hours,Superb analytical skills,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11
110,GP,F,16,Urban,Less than or equal to 3,Living together,higher education,higher education,health,health,other,Finance,mother,<15 min.,5 to 10 hours,Jewelry designer,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15,15,14
111,GP,M,15,Urban,Less than or equal to 3,Apart,higher education,higher education,teacher,teacher,course,Nursing,mother,<15 min.,<2 hours,Virtuoso musician,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,13,14,14
112,GP,F,16,Rural,Greater than 3,Living together,secondary education,secondary education,services,other,reputation,General Business,father,<15 min.,5 to 10 hours,Echo sounder (acoustic location expert),0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11
113,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,home,Pre-Nursing,mother,<15 min.,2 to 5 hours,Health and wellness advocate,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,12,8,10,10
